action,title,digital_sources,tmdbId,tmdbTitle,tmdbYear,catalogTitle,catalogYear,catalogDigital,reason
MATCH,Rise of the Planet of the Apes,Fandango | Movies Anywhere,61791,Rise of the Planet of the Apes,2011,Rise of the Planet of the Apes,2011,,TMDB ID matches existing catalog record.
MATCH,Rock of Ages,Fandango | Movies Anywhere,80585,Rock of Ages,2012,Rock of Ages,2012,,TMDB ID matches existing catalog record.
MATCH,Rocky Balboa,Fandango,1246,Rocky Balboa,2006,Rocky Balboa,2006,,TMDB ID matches existing catalog record.
MATCH,Rounders,Prime,10220,Rounders,1998,Rounders,1998,,TMDB ID matches existing catalog record.
MATCH,Rudy,Fandango | Movies Anywhere,14534,Rudy,1993,Rudy,1993,,TMDB ID matches existing catalog record.
MATCH,Shazam!,Fandango | Movies Anywhere | Prime,287947,Shazam!,2019,Shazam!,2019,,TMDB ID matches existing catalog record.
MATCH,Sherlock Holmes: A Game of Shadows,Fandango | Movies Anywhere,58574,Sherlock Holmes: A Game of Shadows,2011,Sherlock Holmes: A Game of Shadows,2011,,TMDB ID matches existing catalog record.
MATCH,Sing,Fandango | Movies Anywhere,335797,Sing,2016,Sing,2016,,TMDB ID matches existing catalog record.
MATCH,Sonic the Hedgehog,Fandango,454626,Sonic the Hedgehog,2020,Sonic the Hedgehog,2020,,TMDB ID matches existing catalog record.
MATCH,Sonic the Hedgehog 2,Fandango,675353,Sonic the Hedgehog 2,2022,Sonic the Hedgehog 2,2022,,TMDB ID matches existing catalog record.
MATCH,Sonic the Hedgehog 3,Fandango,939243,Sonic the Hedgehog 3,2024,Sonic the Hedgehog 3,2024,,TMDB ID matches existing catalog record.
MATCH,Speed,Fandango | Movies Anywhere,1637,Speed,1994,Speed,1994,,TMDB ID matches existing catalog record.
MATCH,Spy,Fandango | Movies Anywhere,238713,Spy,2015,Spy,2015,,TMDB ID matches existing catalog record.
MATCH,Star Trek Into Darkness,Fandango,54138,Star Trek Into Darkness,2013,Star Trek Into Darkness,2013,,TMDB ID matches existing catalog record.
MATCH,Suicide Squad,Fandango | Movies Anywhere,297761,Suicide Squad,2016,Suicide Squad,2016,,TMDB ID matches existing catalog record.
MATCH,Sweeney Todd: The Demon Barber of Fleet Street,Fandango,13885,Sweeney Todd: The Demon Barber of Fleet Street,2007,Sweeney Todd: The Demon Barber of Fleet Street,2007,,TMDB ID matches existing catalog record.
MATCH,Tango & Cash,Fandango | Movies Anywhere,9618,Tango & Cash,1989,Tango & Cash,1989,,TMDB ID matches existing catalog record.
MATCH,That's My Boy,Fandango | Movies Anywhere,87428,That's My Boy,2012,That's My Boy,2012,,TMDB ID matches existing catalog record.
MATCH,Thor: The Dark World,Fandango | Movies Anywhere,76338,Thor: The Dark World,2013,Thor: The Dark World,2013,,TMDB ID matches existing catalog record.
MATCH,Top Gun: Maverick,Fandango,361743,Top Gun: Maverick,2022,Top Gun: Maverick,2022,,TMDB ID matches existing catalog record.
MATCH,Total Recall,Fandango | Movies Anywhere,861,Total Recall,1990,Total Recall,1990,,TMDB ID matches existing catalog record.
MATCH,Transformers: Age of Extinction,Fandango,91314,Transformers: Age of Extinction,2014,Transformers: Age of Extinction,2014,,TMDB ID matches existing catalog record.
MATCH,Transformers: The Last Knight,Fandango,335988,Transformers: The Last Knight,2017,Transformers: The Last Knight,2017,,TMDB ID matches existing catalog record.
MATCH,Trolls,Fandango | Movies Anywhere,136799,Trolls,2016,Trolls,2016,,TMDB ID matches existing catalog record.
MATCH,Trouble with the Curve,Fandango | Movies Anywhere,87825,Trouble with the Curve,2012,Trouble with the Curve,2012,,TMDB ID matches existing catalog record.
MATCH,True Lies,Fandango | Movies Anywhere,36955,True Lies,1994,True Lies,1994,,TMDB ID matches existing catalog record.
MATCH,"Twilight Saga: Breaking Dawn - Part 1, The",Fandango,50619,The Twilight Saga: Breaking Dawn - Part 1,2011,"Twilight Saga: Breaking Dawn - Part 1, The",2011,,TMDB ID matches existing catalog record.
MATCH,"Twilight Saga: Breaking Dawn - Part 2, The",Fandango | Movies Anywhere,50620,The Twilight Saga: Breaking Dawn - Part 2,2012,"Twilight Saga: Breaking Dawn - Part 2, The",2012,,TMDB ID matches existing catalog record.
MATCH,Underworld: Awakening,Fandango | Movies Anywhere,52520,Underworld: Awakening,2012,Underworld: Awakening,2012,,TMDB ID matches existing catalog record.
MATCH,V for Vendetta,Fandango | Movies Anywhere,752,V for Vendetta,2006,V for Vendetta,2006,,TMDB ID matches existing catalog record.
MATCH,Violent Night,Fandango | Movies Anywhere,899112,Violent Night,2022,Violent Night,2022,,TMDB ID matches existing catalog record.
MATCH,Warrior,Fandango | Movies Anywhere,59440,Warrior,2011,Warrior,2011,,TMDB ID matches existing catalog record.
MATCH,Wayne's World,Fandango,8872,Wayne's World,1992,Wayne's World,1992,,TMDB ID matches existing catalog record.
MATCH,Wayne's World 2,Fandango,8873,Wayne's World 2,1993,Wayne's World 2,1993,,TMDB ID matches existing catalog record.
MATCH,We're the Millers,Fandango | Movies Anywhere,138832,We're the Millers,2013,We're the Millers,2013,,TMDB ID matches existing catalog record.
MATCH,Wicked,Fandango | Movies Anywhere,402431,Wicked,2024,Wicked,2024,,TMDB ID matches existing catalog record.
MATCH,Wicked: For Good,Fandango | Movies Anywhere,967941,Wicked: For Good,2025,Wicked: For Good,2025,,TMDB ID matches existing catalog record.
MATCH,Willy Wonka & the Chocolate Factory,Fandango | Movies Anywhere,252,Willy Wonka & the Chocolate Factory,1971,Willy Wonka & the Chocolate Factory,1971,,TMDB ID matches existing catalog record.
MATCH,Wonder Woman,Fandango | Movies Anywhere,297762,Wonder Woman,2017,Wonder Woman,2017,,TMDB ID matches existing catalog record.
