title,digital,status,existing_match,source_tmdbId,source_year,tmdbId,tmdbTitle,tmdbYear,match_type,confidence,review
Idiocracy,Fandango | Movies Anywhere,NEW_TMDB,,,,7512,Idiocracy,2006,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
In the Grey,Fandango | Movies Anywhere,NEW_TMDB,,,,1122573,In the Grey,2026,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Indian Summer,Fandango | Movies Anywhere,NEW_TMDB,,,,80173,Indian Summer,1995,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Indiscreet,Fandango,NEW_TMDB,,,,22874,Indiscreet,1958,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Is This Thing On?,Fandango | Movies Anywhere,NEW_TMDB,,,,1140498,Is This Thing On?,2025,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
It Happens Every Spring,Fandango | Movies Anywhere,NEW_TMDB,,,,88288,It Happens Every Spring,1949,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Jason Bourne,Fandango | Movies Anywhere,NEW_TMDB,,,,324668,Jason Bourne,2016,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Just One of the Guys,Fandango | Movies Anywhere,NEW_TMDB,,,,24548,Just One of the Guys,1985,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Kill Bill: The Whole Bloody Affair,Fandango,NEW_TMDB,,,,414419,Kill Bill: The Whole Bloody Affair,2011,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Killers,Fandango | Movies Anywhere,NEW_TMDB,,,,241,Natural Born Killers,1994,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Knives Out,Fandango | Movies Anywhere,NEW_TMDB,,,,546554,Knives Out,2019,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Kuffs,Fandango | Movies Anywhere,NEW_TMDB,,,,14603,Kuffs,1992,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Kung Fu Panda,Fandango | Movies Anywhere,NEW_TMDB,,,,9502,Kung Fu Panda,2008,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
La La Land,Fandango | Movies Anywhere,NEW_TMDB,,,,313369,La La Land,2016,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Lean on Me,Fandango | Movies Anywhere,NEW_TMDB,,,,14621,Lean On Me,1989,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Little Big League,Fandango | Movies Anywhere,NEW_TMDB,,,,31504,Little Big League,1994,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Little Shop of Horrors,Fandango | Movies Anywhere,NEW_TMDB,,,,10776,Little Shop of Horrors,1986,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Little Women,Fandango | Movies Anywhere,NEW_TMDB,,,,331482,Little Women,2019,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Lolita,Fandango | Movies Anywhere,NEW_TMDB,,,,9769,Lolita,1997,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
London Has Fallen,Fandango | Movies Anywhere,NEW_TMDB,,,,267860,London Has Fallen,2016,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
MacGruber,Fandango | Movies Anywhere,NEW_TMDB,,,,37931,MacGruber,2010,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Mad Max: Fury Road,Fandango | Movies Anywhere,NEW_TMDB,,,,76341,Mad Max: Fury Road,2015,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Magnolia,Fandango | Movies Anywhere,NEW_TMDB,,,,334,Magnolia,1999,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Magnolia (1999),Prime,NEW_TMDB,,,,334,Magnolia,1999,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Mary Poppins,Fandango | Movies Anywhere,NEW_TMDB,,,,433,Mary Poppins,1964,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Maze Runner: The Death Cure,Fandango | Movies Anywhere,NEW_TMDB,,,,336843,Maze Runner: The Death Cure,2018,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Maze Runner: The Scorch Trials,Fandango | Movies Anywhere,NEW_TMDB,,,,294254,Maze Runner: The Scorch Trials,2015,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Mechanic Resurrection,Fandango,NEW_TMDB,,,,278924,Mechanic: Resurrection,2016,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Mickey's Magical Christmas: Snowed In at the House of Mouse,Fandango | Movies Anywhere,NEW_TMDB,,,,21448,Mickey's Magical Christmas: Snowed in at the House of Mouse,2001,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Midnight Run,Fandango | Movies Anywhere,NEW_TMDB,,,,9013,Midnight Run,1988,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Miracle on 34th Street,Fandango | Movies Anywhere,NEW_TMDB,,,,10510,Miracle on 34th Street,1994,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Miracle on 34th Street (1947),Prime,NEW_TMDB,,,,,,,NO_RESULT,REVIEW,No TMDB result found.
Murder on the Orient Express,Fandango | Movies Anywhere,NEW_TMDB,,,,392044,Murder on the Orient Express,2017,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Nerve,Fandango | Movies Anywhere,NEW_TMDB,,,,328387,Nerve,2016,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Network,Fandango | Movies Anywhere,NEW_TMDB,,,,37799,The Social Network,2010,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Never Been Kissed,Fandango | Movies Anywhere,NEW_TMDB,,,,11355,Never Been Kissed,1999,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
No Hard Feelings,Fandango | Movies Anywhere,NEW_TMDB,,,,884605,No Hard Feelings,2023,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Operation Fortune: Ruse de Guerre,Fandango | Movies Anywhere,NEW_TMDB,,,,739405,Operation Fortune: Ruse de Guerre,2023,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Operation Petticoat,Fandango,NEW_TMDB,,,,9660,Operation Petticoat,1959,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Out of Sight,Fandango | Movies Anywhere,NEW_TMDB,,,,1389,Out of Sight,1998,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Paranormal Activity,Fandango,NEW_TMDB,,,,23827,Paranormal Activity,2007,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Passenger 57,Fandango | Movies Anywhere,NEW_TMDB,,,,10538,Passenger 57,1992,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Pixie Hollow Games: Disney Fairies (Short),Fandango | Movies Anywhere,NEW_TMDB,,,,,,,NO_RESULT,REVIEW,No TMDB result found.
Plane,Fandango | Movies Anywhere,NEW_TMDB,,,,646389,Plane,2023,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Psycho,Fandango,NEW_TMDB,,,,539,Psycho,1960,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Psycho (1998),Movies Anywhere,NEW_TMDB,,,,,,,NO_RESULT,REVIEW,No TMDB result found.
Puffs,Prime,NEW_TMDB,,,,1247046,Puffs,2024,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Rango,Prime,NEW_TMDB,,,,44896,Rango,2011,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Ready Player One,Fandango | Movies Anywhere,NEW_TMDB,,,,333339,Ready Player One,2018,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Rocky,Fandango,NEW_TMDB,,,,1366,Rocky,1976,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Rocky II,Fandango,NEW_TMDB,,,,1367,Rocky II,1979,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Rocky III,Fandango,NEW_TMDB,,,,1371,Rocky III,1982,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Rocky IV,Fandango,NEW_TMDB,,,,1374,Rocky IV,1985,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Rocky IV: Rocky vs. Drago The Ultimate Director's Cut,Fandango,NEW_TMDB,,,,1374,Rocky IV,1985,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Rocky V,Fandango,NEW_TMDB,,,,1375,Rocky V,1990,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
