result,digital_title,digital,tmdbId,existing_title,existing_year,notes
MATCH,Pitch Perfect 3,Fandango | Movies Anywhere,353616,Pitch Perfect 3,2017,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Planes, Trains and Automobiles",Fandango,2609,"Planes, Trains and Automobiles",1987,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Polar Express, The",Fandango | Movies Anywhere,5255,"Polar Express, The",2004,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Rambo,Fandango | Movies Anywhere,7555,Rambo,2008,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Return to Never Land,Fandango,16690,Return to Never Land,2002,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Riddick,Fandango | Movies Anywhere,87421,Riddick,2013,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Rise of the Planet of the Apes,Fandango | Movies Anywhere,61791,Rise of the Planet of the Apes,2011,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Rock of Ages,Fandango | Movies Anywhere,80585,Rock of Ages,2012,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Rocky Balboa,Fandango,1246,Rocky Balboa,2006,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Rounders,Prime,10220,Rounders,1998,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Rudy,Fandango | Movies Anywhere,14534,Rudy,1993,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Shazam!,Fandango | Movies Anywhere | Prime,287947,Shazam!,2019,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Sherlock Holmes: A Game of Shadows,Fandango | Movies Anywhere,58574,Sherlock Holmes: A Game of Shadows,2011,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Sing,Fandango | Movies Anywhere,335797,Sing,2016,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Sonic the Hedgehog,Fandango,454626,Sonic the Hedgehog,2020,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Sonic the Hedgehog 2,Fandango,675353,Sonic the Hedgehog 2,2022,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Sonic the Hedgehog 3,Fandango,939243,Sonic the Hedgehog 3,2024,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Speed,Fandango | Movies Anywhere,1637,Speed,1994,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Spy,Fandango | Movies Anywhere,238713,Spy,2015,Matched by TMDB ID. Existing catalog metadata preserved.
